t,theta
1.788251111E1,2.309317226E0
1.791743333E1,2.087129915E0
1.795236667E1,1.788267555E0
1.798728889E1,1.429327492E0
1.802222222E1,1.067224313E0
1.805714444E1,6.766326689E-1
1.809206667E1,2.506532131E-1
1.812700000E1,-1.844017421E-1
1.816192222E1,-7.275685514E-1
1.819685556E1,-1.203828806E0
1.823177778E1,-1.742771899E0
1.826670000E1,-2.366936457E0
1.830163333E1,-2.796641149E0
1.833655556E1,-3.332766206E0
1.837148889E1,-3.707214517E0
1.840641111E1,-4.080551479E0
1.844133333E1,-4.411351164E0
1.847626667E1,-4.681675434E0
1.851118889E1,-4.951565277E0
1.854612222E1,-5.123088071E0
1.858104444E1,-5.277361928E0
1.861597778E1,-5.287975139E0
1.865090000E1,-5.221601213E0
1.868582222E1,-5.072232521E0
1.872075556E1,-4.889173198E0
1.875567778E1,-4.613460717E0
1.879061111E1,-4.326519037E0
1.882553333E1,-4.015914434E0
1.886045556E1,-3.635640912E0
1.889538889E1,-3.089463974E0
1.893031111E1,-2.758227917E0
1.896524444E1,-2.233647454E0
1.900016667E1,-1.723407753E0
1.903508889E1,-1.172226691E0
1.907002222E1,-7.459845258E-1
1.910494444E1,-2.361551684E-1
1.913987778E1,1.799392534E-1
1.917480000E1,4.945760767E-1
1.920973333E1,8.255587706E-1
1.924465556E1,1.146688412E0
1.927957778E1,1.419940231E0
1.931451111E1,1.650981047E0
1.934943333E1,1.748384272E0
1.938436667E1,1.931768846E0
1.941928889E1,1.985648376E0
1.945421111E1,2.021120289E0
1.948914444E1,1.851827516E0
1.952406667E1,1.729263773E0
1.955900000E1,1.517308099E0
1.959392222E1,1.257197747E0
1.962884444E1,1.006695295E0
1.966377778E1,7.530591394E-1
1.969870000E1,1.621241551E-1
1.973363333E1,-2.009771354E-1
1.976855556E1,-5.514936762E-1
1.980347778E1,-1.483941313E0
1.983841111E1,-1.900121613E0
1.987333333E1,-2.374484368E0
1.990826667E1,-2.766178996E0
1.994318889E1,-3.194377080E0
1.997812222E1,-3.527017182E0
2.001304444E1,-3.852678601E0
2.004796667E1,-4.075527237E0
2.008290000E1,-4.360965232E0
2.011782222E1,-4.615552333E0
2.015275556E1,-4.679910962E0
2.018767778E1,-4.717119198E0
2.022260000E1,-4.713883064E0
2.025753333E1,-4.716885672E0
2.029245556E1,-4.652349509E0
2.032738889E1,-4.492974981E0
2.036231111E1,-4.335073547E0
2.039723333E1,-4.053609760E0
2.043216667E1,-3.718267574E0
2.046708889E1,-3.392616949E0
2.050202222E1,-3.072499587E0
2.053694444E1,-2.699659866E0
2.057186667E1,-2.238612514E0
2.060680000E1,-1.808857697E0
2.064172222E1,-1.460765506E0
2.067665556E1,-9.919385139E-1
2.071157778E1,-5.947074169E-1
2.074651111E1,-2.073359528E-1
2.078143333E1,1.530708752E-1
2.081635556E1,5.205342036E-1
2.085128889E1,7.578665490E-1
2.088621111E1,1.038338605E0
