"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.705511454E0,6.902049184E-1,1.698374748E-1,4.936693668E0,4.987601826E0
2.724852449E0,8.999607712E-2,-6.933152676E-2,-9.985716343E-1,1.005013166E0
2.744172833E0,-7.144211531E-1,4.637663439E-2,-8.757204056E0,8.786419706E0
2.763518289E0,-9.048857093E-1,2.198598534E-1,-1.011910439E1,1.016186155E1
2.782836405E0,-1.071754396E-1,1.416163892E-1,-2.281916857E0,2.288817668E0
2.802155490E0,6.334409118E-1,-2.302310467E-1,7.888544083E0,7.917283718E0
2.821498478E0,8.793585896E-1,-2.746184543E-2,9.522882462E0,9.563436415E0
2.840812590E0,8.278769851E-1,1.853862107E-1,4.678385735E0,4.754686260E0
2.860146828E0,2.262231410E-1,-5.955355614E-2,-1.235890985E0,1.257835467E0
2.879466974E0,-7.180366516E-1,7.752218284E-3,-8.580335617E0,8.610330774E0
2.898819286E0,-9.940088391E-1,1.996125281E-1,-9.530730247E0,9.584504045E0
2.918123888E0,-7.153197378E-2,1.287596226E-1,-1.859350324E0,1.865175458E0
2.937433907E0,6.049044132E-1,-2.071094811E-1,7.601352692E0,7.628195490E0
2.956781429E0,8.164067268E-1,-1.363214664E-2,9.058043480E0,9.094770886E0
2.976103155E0,7.441347241E-1,1.456364095E-1,4.500581264E0,4.564009002E0
2.995412723E0,1.957909614E-1,-6.239267066E-2,-1.385630012E0,1.400784593E0
3.014758748E0,-7.211055160E-1,2.145047113E-2,-8.416722298E0,8.447583532E0
3.034079103E0,-9.428904653E-1,1.898721308E-1,-9.026331902E0,9.077431435E0
3.053393360E0,1.222112179E-1,8.814586699E-2,-1.487892509E0,1.495503057E0
3.072704812E0,6.500351429E-1,-1.516218334E-1,7.374690056E0,7.404835467E0
3.092049318E0,7.447267175E-1,9.011318325E-4,8.625070572E0,8.657162414E0
3.111365037E0,5.110207796E-1,9.423061460E-2,4.319578648E0,4.350721933E0
3.130673909E0,-4.540739954E-2,-6.073528528E-2,-1.503148794E0,1.505060432E0
3.149990752E0,-7.229933143E-1,7.967821509E-2,-8.239135742E0,8.271180431E0
3.169337379E0,-7.469413280E-1,2.003300190E-1,-8.565535545E0,8.600375145E0
3.188648861E0,9.636667371E-2,6.523662060E-2,-1.200653076E0,1.206279471E0
3.206996971E0,5.867451429E-1,-1.679898351E-1,7.169981956E0,7.195910763E0
3.226338276E0,6.779597998E-1,-1.078205416E-3,8.283148766E0,8.310847377E0
3.245655140E0,4.736288786E-1,1.089761779E-1,4.087763786E0,4.116553521E0
3.264972132E0,-6.587476283E-2,-2.194709703E-2,-1.707163811E0,1.708575265E0
3.284314468E0,-7.242183685E-1,4.821240902E-2,-8.102869034E0,8.135312118E0
3.303631204E0,-7.377255559E-1,1.752222329E-1,-8.074598312E0,8.110122054E0
3.322948196E0,9.833341837E-2,5.380053446E-2,-8.316467404E-1,8.391664075E-1
3.342263977E0,4.880083501E-1,-1.499293149E-1,6.986642361E0,7.005269618E0
3.361606313E0,6.928535104E-1,-1.342455950E-2,7.869479179E0,7.899932200E0
3.380923177E0,5.622221828E-1,7.861588150E-2,3.872656822E0,3.914044596E0
3.400239913E0,3.927339986E-2,-2.982177772E-2,-1.848148346E0,1.848806114E0
3.419582249E0,-7.118672729E-1,7.547470182E-2,-7.911942482E0,7.944261154E0
3.438897058E0,-8.405848742E-1,1.579765528E-1,-7.635180473E0,7.682936963E0
3.458213794E0,-5.988803506E-2,4.713892564E-2,-5.226325989E-1,5.281604761E-1
3.477556002E0,4.564908147E-1,-1.258101314E-1,6.795108795E0,6.811586863E0
3.496872866E0,6.809108853E-1,1.396100689E-2,7.514015198E0,7.544816693E0
3.516214946E0,5.167513490E-1,9.246165305E-2,3.667807341E0,3.705184449E0
3.535526500E0,-3.357888386E-2,-4.564511776E-2,-1.970590115E0,1.971404681E0
3.554843108E0,-7.275517583E-1,6.224356964E-2,-7.720977783E0,7.755430597E0
3.574159716E0,-7.735372186E-1,1.609178185E-1,-7.212444305E0,7.255591446E0
3.593501796E0,-2.155524492E-2,6.021399051E-2,-2.909154594E-1,2.978626491E-1
3.612818404E0,-1.511859447E-1,6.811755896E-2,-2.812779546E-1,3.265187275E-1
3.632160167E0,4.368959963E-1,-1.140953749E-1,6.564097404E0,6.579610217E0
3.651476647E0,3.230261207E-1,3.101627715E-2,3.539944410E0,3.554787520E0
3.670793255E0,-1.550037116E-1,-1.310976781E-2,-2.047938585E0,2.053837984E0
3.690135207E0,-6.970037818E-1,1.140299141E-1,-7.529849052E0,7.562899169E0
3.709451943E0,-6.103109717E-1,1.546243578E-1,-6.834001064E0,6.862940967E0
3.728769770E0,5.715980008E-2,1.814515144E-2,-9.470647573E-2,1.120973051E-1
3.748086378E0,4.686988592E-1,-9.725581110E-2,6.352368832E0,6.370378881E0
3.767428330E0,5.713898540E-1,3.349548206E-2,6.903536320E0,6.927223255E0
3.786744938E0,3.200915456E-1,4.509655386E-2,3.348487139E0,3.364053866E0
3.806061546E0,-1.958320588E-1,-4.218862578E-2,-2.143281937E0,2.152623408E0
3.825378154E0,-7.222409844E-1,8.619271219E-2,-7.311669827E0,7.347759990E0
3.844720106E0,-5.843510628E-1,1.432936937E-1,-6.438618660E0,6.466669119E0
3.864036714E0,9.171117842E-2,4.596618563E-2,5.545985326E-2,1.166174335E-1
3.883353194E0,4.333760738E-1,-9.979958087E-2,6.147610664E0,6.163675175E0
3.902669930E0,5.022404194E-1,5.862727761E-3,6.670876026E0,6.689758349E0
3.922354972E0,4.270219505E-1,5.078540370E-2,3.176341772E0,3.205319634E0
3.941705108E0,-9.115382284E-2,-1.071779337E-2,-2.256100416E0,2.257966558E0
3.961021844E0,-7.137117386E-1,7.766979933E-2,-7.079987049E0,7.116293534E0
3.980338452E0,-6.862680912E-1,1.399026960E-1,-6.053402424E0,6.093785159E0
3.999655188E0,-4.922220111E-2,1.626373641E-2,1.994436532E-1,2.060706311E-1
4.018971924E0,3.739146292E-1,-8.117789775E-2,5.879024982E0,5.891463039E0
4.038329472E0,5.419220924E-1,2.930095233E-2,6.392813683E0,6.415808981E0
4.057646336E0,3.651437163E-1,2.271791175E-2,3.080640793E0,3.102288467E0
