Wavelength,Nothing,Pure_water,Empty_cuvette,150,187.5,300,375,750,1500,1875,3000,3750,7500,15000,
594,NAN,-0.001,0.738,0.001,0.012,0.011,0.007,0.018,0.040,0.048,0.084,0.098,0.211,0.429,
595,NAN,0.001,0.719,0.004,0.018,0.019,0.016,0.022,0.038,0.051,0.086,0.099,0.202,0.415,
596,NAN,-0.004,0.710,0.004,0.017,0.017,0.017,0.022,0.038,0.052,0.089,0.098,0.196,0.405,
597,NAN,-0.002,0.698,0.000,0.010,0.008,0.011,0.022,0.030,0.043,0.081,0.092,0.190,0.383,
598,NAN,0.002,0.697,0.004,0.012,0.013,0.015,0.019,0.028,0.043,0.076,0.088,0.185,0.361,
599,NAN,0.001,0.698,0.005,0.013,0.016,0.021,0.017,0.033,0.042,0.074,0.086,0.176,0.348,
600,NAN,0.000,0.689,0.001,0.014,0.010,0.024,0.021,0.031,0.042,0.071,0.085,0.167,0.344,
601,NAN,0.001,0.716,0.003,0.018,0.014,0.023,0.022,0.027,0.040,0.071,0.083,0.166,0.328,
602,NAN,-0.004,0.716,0.003,0.017,0.017,0.021,0.017,0.026,0.039,0.071,0.078,0.153,0.312,
603,NAN,-0.004,0.707,0.001,0.016,0.017,0.024,0.021,0.028,0.037,0.068,0.078,0.151,0.303,
604,NAN,-0.004,0.700,0.003,0.014,0.012,0.019,0.011,0.020,0.031,0.057,0.071,0.144,0.286,
605,NAN,-0.004,0.697,0.002,0.015,0.007,0.022,0.013,0.022,0.031,0.055,0.072,0.141,0.277,
606,NAN,0.004,0.683,0.002,0.019,0.007,0.022,0.020,0.028,0.039,0.061,0.080,0.139,0.272,
607,NAN,0.003,0.685,0.003,0.020,0.010,0.017,0.020,0.021,0.036,0.061,0.074,0.127,0.262,
608,NAN,0.001,0.677,0.005,0.017,0.010,0.020,0.019,0.024,0.035,0.057,0.065,0.123,0.241,
609,NAN,0.005,0.683,0.001,0.015,0.010,0.023,0.019,0.030,0.039,0.060,0.068,0.128,0.240,
610,NAN,0.003,0.708,0.003,0.017,0.013,0.026,0.020,0.027,0.043,0.060,0.070,0.128,0.244,
611,NAN,0.002,0.710,-0.003,0.015,0.011,0.014,0.014,0.017,0.030,0.052,0.060,0.114,0.230,
612,NAN,-0.001,0.708,-0.003,0.010,0.010,0.014,0.010,0.016,0.022,0.049,0.061,0.116,0.222,
613,NAN,-0.005,0.701,0.005,0.011,0.012,0.020,0.013,0.026,0.031,0.052,0.060,0.116,0.219,
