Wavelength,150,187.5,300,375,750,1500,1875,3000,3750,7500,15000,Empty_cuvette,Nothing,Pure_water
453.855,130.131,129.905,139.397,146.177,137.476,123.689,103.625,104.586,97.577,113.403,112.16,168.602,127.419,126.288
454.207,125.893,134.312,137.872,146.177,138.154,123.18,113.46,98.142,104.36,113.234,110.295,167.924,117.755,132.391
454.56,129.961,135.838,132.787,156.854,134.086,116.06,119.224,105.943,101.816,123.237,101.477,168.094,127.927,126.627
454.913,132.165,144.313,139.228,160.921,130.526,112.16,128.21,111.199,108.09,132.222,103.342,161.994,127.08,141.544
455.265,143.522,143.635,143.974,167.868,135.273,118.603,129.566,121.372,107.582,133.917,107.243,168.941,124.876,129.509
455.618,153.351,144.991,140.753,166.682,133.408,127.249,135.838,127.984,105.038,131.713,109.447,174.363,132.843,127.475
455.97,154.538,146.516,136.855,168.037,134.425,127.419,134.99,138.493,104.869,132.052,98.085,167.585,141.318,130.866
456.323,157.927,150.414,142.957,153.126,140.188,134.03,131.939,135.273,104.19,119.168,96.729,168.772,139.962,131.544
456.675,154.368,151.939,135.499,151.261,138.154,128.605,133.634,129.17,108.43,109.164,93.506,177.751,146.403,132.9
457.028,149.962,158.379,134.312,148.55,138.832,137.081,142.279,128.323,115.721,112.386,96.389,172.33,139.284,141.205
457.38,154.199,157.362,141.431,147.024,141.544,130.47,140.075,129.34,111.99,120.524,97.577,179.615,132.674,134.934
457.733,153.86,152.109,146.685,136.855,130.018,134.369,130.753,128.153,111.821,117.981,104.529,179.784,134.03,137.137
458.085,150.979,147.533,142.957,137.194,129.34,138.267,125.836,133.747,110.973,124.254,109.447,179.445,124.028,142.222
458.437,151.657,149.228,139.397,131.261,141.883,137.42,118.716,133.408,96.898,134.256,116.907,175.887,125.384,142.9
458.79,148.606,138.211,142.448,117.699,141.375,129.283,116.681,121.033,96.559,130.018,116.229,179.276,139.623,145.612
459.142,149.454,130.074,139.736,114.138,136.968,121.485,103.116,107.469,100.46,117.812,129.283,165.213,147.928,154.764
459.494,154.707,133.804,135.668,117.19,143.239,129.453,109.051,109.843,98.085,119.168,136.233,163.858,146.572,152.73
459.846,156.741,140.753,136.007,124.65,145.782,120.129,120.072,99.329,106.564,117.642,134.199,164.705,145.047,146.798
460.198,156.571,134.312,144.821,131.092,135.273,124.706,116.681,102.551,116.399,103.06,129.453,172.16,142.166,153.239
460.55,148.945,140.075,133.973,136.177,129.17,124.876,115.155,107.977,112.669,110.182,123.519,166.23,141.827,153.916
460.902,141.149,146.177,131.092,145.669,125.78,129.961,122.446,120.185,114.195,108.656,108.599,174.532,130.979,150.696
461.255,137.759,142.109,132.956,145.499,130.526,122.672,119.903,122.898,114.703,106.79,111.143,178.937,131.487,145.612
461.607,140.81,139.058,135.499,147.024,130.187,117.755,109.051,123.576,110.295,108.825,110.803,182.494,135.386,159.847
461.959,141.318,132.448,129.057,149.228,135.951,108.43,111.595,125.61,107.582,124.424,114.195,182.156,141.318,157.136
462.31,141.149,135.499,135.16,157.023,137.137,101.816,109.73,123.745,116.06,121.881,126.401,183.341,137.928,153.069
462.662,137.42,145.838,137.533,154.142,151.374,99.951,114.138,113.234,116.568,127.306,133.691,187.915,151.826,159.847
463.014,136.064,142.109,137.872,153.803,145.612,98.594,112.103,104.586,116.06,129.17,122.672,190.287,145.386,162.898
463.366,136.742,145.669,137.194,144.821,146.121,101.477,111.425,109.334,111.143,133.578,132.674,191.472,145.386,152.73
463.718,134.369,150.583,142.279,140.753,143.409,111.651,111.425,111.538,107.582,120.524,136.403,192.658,136.403,143.239
464.07,142.505,139.906,144.482,129.735,137.476,115.381,114.647,120.185,104.869,119.507,129.114,193.166,139.793,150.188
464.421,147.589,124.141,144.482,120.581,126.458,125.215,106.338,126.627,104.021,126.119,135.216,192.997,139.284,140.866
464.773,159.791,129.566,140.414,124.65,125.61,129.622,114.647,127.136,105.038,116.794,135.047,189.778,147.25,137.985
465.125,157.08,126.854,120.411,128.04,127.984,128.944,122.615,131.544,111.143,116.455,126.571,183.85,149.115,127.306
465.476,156.063,140.584,121.089,132.956,131.713,132.504,126.175,134.425,116.907,118.659,121.146,184.188,160.638,132.222
465.828,154.029,145.669,121.259,134.821,141.036,145.895,126.684,131.883,115.551,117.303,121.315,197.57,159.113,127.645
466.18,162.841,147.533,132.617,142.787,154.933,134.538,138.041,131.374,117.925,112.386,107.412,186.052,157.758,132.561
466.531,161.994,150.075,133.634,145.669,157.306,131.148,135.16,137.137,120.298,113.742,115.721,181.478,155.046,144.426
466.883,164.874,153.634,148.889,150.075,148.832,130.64,134.143,134.086,127.927,113.912,119.959,183.85,149.623,150.866
467.234,167.585,149.567,144.482,151.77,147.985,127.249,131.6,128.662,128.775,121.542,124.876,183.68,143.691,151.713
467.586,174.701,150.583,145.16,159.396,135.781,118.433,133.804,128.153,122.333,115.777,125.893,179.784,152.674,154.425
467.937,161.655,160.412,133.634,154.82,129.848,123.011,124.48,123.406,116.907,117.303,130.809,191.472,154.199,161.542
468.288,151.657,155.837,136.346,149.736,129.679,126.401,122.954,118.998,118.094,126.458,127.249,203.667,161.994,154.086
468.64,144.878,147.702,146.516,146.516,139.171,126.401,116.512,120.185,117.246,119.507,119.959,210.102,166.738,155.442
468.991,144.708,145.33,146.855,143.465,136.459,128.097,120.242,114.76,118.942,113.064,113.516,210.78,168.094,152.73
469.342,141.657,144.652,150.753,134.99,152.052,131.487,112.782,119.846,121.315,120.863,112.669,212.643,157.419,161.034
469.694,142.335,142.279,153.295,139.906,147.307,133.86,108.882,119.846,128.944,124.085,117.925,207.223,159.96,166.625
470.045,141.149,143.465,156.854,137.872,143.578,125.554,110.408,120.524,128.097,114.76,110.803,208.748,148.606,173.233
